"Otu00075","Otu00081","Otu00091","Otu00200","Otu00229","Otu00243","Otu01558","Otu01976","Otu02309","Otu02476","Otu02722","Otu02822"
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,0,0,0,0,13,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,166,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,86,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,415,0,0,0,0,0,0,0
0,66,0,0,5,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0,0,0
0,46,0,0,99,0,0,0,0,0,0,0
0,47,0,0,0,0,0,0,0,0,0,0
0,2,0,21,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,267,0,0,0,0,0,0,0
7,0,216,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
7,15,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
105,116,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0
1,0,0,0,6,0,0,0,0,0,0,0
0,0,0,0,36,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,34,0,0,0,0,0,0,0,0,0,0
0,0,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,1,0,0,0,0,0,0,0
